Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1918,0.556,0.0,0.58,0.0,0.0,0.0,-999.0,0.086,0.303,0.0,0.072,0.001,0.001,0.03,0.021,0.428,0.0,0.0,0.026,0.0,0.0,0.496,0.218,0.0,0.031,0.0,0.0,0.01,0.0,0.0,0.558,0.062,0.0,0.202,0.0,0.0,0.0,0.038,0.0,0.09,0.182,0.001,0.0,0.0,0.026,0.17,0.076,0.0,-999.0,4.364,1.0,
1919,0.833,0.049,0.173,0.082,0.039,1.0,-999.0,0.145,0.224,0.0,0.157,0.047,0.008,0.105,0.335,0.222,0.0,0.0,0.026,0.001,0.06,0.334,0.12,0.0,0.173,0.0,0.0,0.167,0.0,0.0,0.122,0.0,0.022,0.106,0.001,0.125,0.0,0.14,0.0,0.318,0.374,0.0,0.0,0.0,0.026,0.003,0.004,0.0,-999.0,0.185,1.0,
1920,0.608,0.0,0.087,0.128,0.0,-999.0,-999.0,0.773,0.368,0.0,0.043,0.001,0.002,0.106,0.396,1.082,0.0,0.0,0.0,0.002,0.0,0.462,0.0,0.0,0.029,0.0,0.0,0.333,0.0,0.05,0.206,0.0,0.035,0.1,0.0,0.0,0.0,0.333,0.0,0.482,0.267,0.001,0.0,0.192,0.026,0.002,0.01,0.0,-999.0,0.755,0.0,
1921,0.46,0.0,0.353,0.0,0.0,-999.0,-999.0,0.497,0.096,0.0,0.044,0.001,0.108,0.097,0.127,0.221,0.0,0.0,0.026,0.144,0.0,0.227,0.094,0.0,0.03,0.0,0.0,0.167,0.0,0.0,0.191,0.0,0.0,0.0,0.192,0.123,0.0,0.311,0.066,0.045,0.291,0.0,0.0,0.0,0.103,0.003,0.023,0.0,-999.0,0.623,0.0,
1922,0.333,0.0,0.147,0.0,0.0,0.0,-999.0,0.052,0.113,0.0,0.051,0.0,0.017,0.056,0.196,0.575,0.022,0.0,0.222,0.0,0.056,0.45,0.146,0.0,0.045,0.0,0.0,0.0,0.0,0.051,0.058,0.0,0.067,0.1,0.0,0.062,0.0,0.021,0.069,0.0,0.225,0.001,0.0,0.0,0.0,0.0,0.055,0.0,-999.0,0.235,0.0,
1923,0.241,0.0,0.352,0.067,0.001,0.0,-999.0,0.143,0.121,0.0,0.039,0.0,0.018,0.218,0.0,0.574,0.0,0.0,0.026,0.0,0.0,0.491,0.125,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.031,0.069,0.0,0.533,0.0,0.0,0.0,0.13,0.001,0.102,0.25,0.002,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,3.092,0.0,
1924,0.119,0.0,0.0,0.011,0.001,0.0,-999.0,0.773,0.075,0.0,0.137,0.03,0.124,0.094,0.167,0.141,0.0,-999.0,0.665,0.002,0.027,0.079,0.155,0.0,0.011,0.0,0.0,0.333,0.0,0.114,0.487,0.0,0.071,0.058,0.125,0.0,1.0,0.656,0.001,0.372,0.037,0.0,0.0,0.064,0.026,0.0,0.122,0.0,-999.0,1.47,-999.0,
1925,0.225,0.0,0.118,0.066,0.001,0.0,-999.0,0.492,0.169,0.0,0.0,0.046,0.068,0.124,0.027,0.657,0.0,0.0,0.0,0.0,0.111,0.72,0.374,0.0,0.012,0.0,0.0,0.01,0.0,0.0,0.138,0.0,0.0,0.175,0.002,0.0,0.0,0.001,0.035,0.046,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,0.235,0.0,
1926,0.781,0.0,0.21,0.086,0.001,0.0,-999.0,0.605,0.13,0.0,0.22,0.029,0.274,0.124,0.0,0.698,0.022,0.0,0.0,0.0,0.21,0.423,0.187,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.55,0.042,0.0,-999.0,0.042,0.033,0.175,0.376,0.0,0.0,0.048,0.0,0.0,0.057,0.0,-999.0,0.429,1.0,
1927,0.111,0.0,0.71,0.036,0.0,1.0,-999.0,0.259,0.0,0.0,0.113,0.129,0.146,0.086,0.0,1.545,0.0,0.0,0.0,0.0,0.003,0.429,0.219,0.0,0.008,0.0,-999.0,0.167,0.0,0.058,0.103,0.0,0.023,0.575,0.0,0.0,-999.0,0.177,0.002,0.115,0.175,0.0,0.667,0.15,0.0,0.003,0.009,0.0,-999.0,3.418,1.0,
1928,0.722,0.0,0.325,0.023,0.0,0.0,-999.0,0.861,0.575,0.0,0.014,0.0,0.195,0.209,0.167,0.571,0.0,0.0,0.0,0.001,0.056,0.617,0.283,0.0,0.048,0.0,-999.0,0.167,0.0,0.003,0.575,0.0,0.001,0.317,0.0,0.0,-999.0,0.908,0.002,0.144,0.157,0.0,0.0,0.15,0.0,0.0,0.067,0.0,-999.0,1.205,2.0,
1929,1.392,0.0,0.031,0.09,0.0,0.0,-999.0,0.306,1.331,0.0,0.033,0.0,0.1,0.092,0.0,0.977,0.0,0.0,0.0,0.001,0.083,0.52,0.155,0.0,0.098,0.0,-999.0,0.0,0.002,0.002,0.684,0.0,0.0,0.142,0.0,0.0,-999.0,0.63,0.06,0.257,0.332,0.0,0.0,0.234,0.0,0.003,0.0,0.0,-999.0,1.981,1.0,
1930,0.298,0.0,0.461,0.0,0.0,0.0,-999.0,0.444,0.023,0.0,0.028,0.0,0.103,0.091,0.0,0.356,0.0,0.0,0.0,0.0,0.0,0.227,0.0,0.0,0.022,0.0,-999.0,0.0,0.002,0.002,0.008,0.0,0.0,0.258,0.001,0.0,-999.0,0.0,0.0,0.258,0.264,0.0,0.0,0.135,0.007,0.0,0.0,0.0,-999.0,2.828,0.0,
1931,0.111,0.0,0.209,0.08,0.0,0.0,-999.0,0.083,0.117,0.0,0.156,0.091,0.033,0.188,0.027,0.636,0.0,0.0,0.333,0.0,0.001,0.678,0.031,0.0,0.0,0.0,-999.0,0.01,0.0,0.0,0.074,0.0,0.0,0.3,0.083,0.0,-999.0,0.081,0.039,0.114,0.146,0.0,0.333,0.0,0.0,0.003,0.022,0.0,-999.0,1.399,3.0,
1932,0.611,0.0,0.441,0.006,0.0,0.0,-999.0,0.25,0.03,0.0,0.058,0.036,0.067,0.068,0.167,0.972,0.5,0.0,0.167,0.0,0.001,0.781,0.094,0.0,0.037,0.0,-999.0,0.343,0.056,0.25,0.491,0.123,0.0,0.25,0.0,0.0,-999.0,0.871,0.035,0.349,0.389,0.0,0.0,0.017,0.205,0.0,0.0,0.0,-999.0,2.634,2.0,
1933,0.17,0.0,0.265,0.144,0.0,0.0,-999.0,0.935,0.269,0.0,0.064,0.061,0.156,0.061,0.167,0.83,0.022,0.0,0.777,0.0,0.027,0.408,0.167,0.0,0.071,0.0,-999.0,0.5,0.0,0.15,0.074,0.0,0.0,0.267,0.14,0.0,-999.0,0.555,0.033,0.205,0.141,0.0,0.0,0.01,0.179,0.0,0.066,0.0,-999.0,1.664,3.0,
1934,0.545,0.0,0.294,0.065,0.0,0.0,-999.0,0.648,0.155,0.0,0.054,0.0,0.086,0.03,0.0,0.307,0.25,0.0,0.334,0.0,0.0,0.5,0.094,0.0,0.001,0.0,-999.0,0.01,0.0,0.1,0.239,0.0,0.034,0.15,0.004,0.0,-999.0,0.46,0.033,0.198,0.201,0.0,0.0,0.177,0.026,0.0,0.001,0.0,-999.0,0.817,0.0,
1935,0.114,0.0,0.324,0.021,0.0,0.0,-999.0,0.62,0.254,0.0,0.141,0.136,0.045,0.078,0.25,0.5,0.0,0.0,0.334,0.067,0.028,0.648,0.125,0.0,0.012,0.0,0.0,0.333,0.111,0.233,0.073,0.0,0.099,0.267,0.004,0.0,-999.0,0.627,0.003,0.144,0.445,0.0,0.0,0.0,0.097,0.0,0.0,0.0,-999.0,1.143,0.0,
1936,0.944,0.0,0.235,0.036,0.0,0.0,-999.0,0.111,0.651,0.0,0.048,0.03,0.062,0.022,0.0,0.141,0.0,0.0,0.667,0.0,0.0,0.263,0.156,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.259,0.0,0.0,0.233,0.004,0.0,-999.0,0.059,0.001,0.437,0.537,0.0,0.0,0.0,0.0,0.199,0.0,0.0,-999.0,3.41,0.0,
1937,0.444,0.0,0.564,0.186,0.0,0.0,-999.0,0.659,0.152,0.0,0.02,0.137,0.083,0.106,0.165,0.771,0.0,0.0,0.0,0.089,0.083,0.0,0.124,0.0,0.04,0.0,0.0,0.333,0.0,0.05,0.219,0.0,0.133,0.092,0.094,0.125,-999.0,0.096,0.003,0.32,0.123,0.0,0.0,0.095,0.108,0.164,0.0,0.0,-999.0,2.175,0.0,
1938,0.487,0.0,0.764,0.139,0.038,1.0,-999.0,0.287,0.0,0.0,0.038,0.0,0.071,0.144,0.083,0.361,0.0,0.0,0.167,0.0,0.005,0.299,0.0,0.022,0.0,0.0,0.0,0.833,0.003,0.1,0.181,0.0,0.067,0.033,0.049,0.0,-999.0,0.222,0.001,0.303,0.171,0.0,0.0,0.0,0.0,0.0,0.166,0.0,-999.0,1.337,1.0,
1939,0.667,0.0,0.272,0.065,0.0,0.0,-999.0,0.407,0.235,0.0,0.029,0.028,0.075,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.056,0.217,0.031,0.0,0.0,0.0,0.0,0.5,0.002,0.0,0.141,0.125,0.135,0.006,0.004,0.0,-999.0,0.0,0.072,0.068,0.12,0.0,0.0,0.0,0.0,0.0,0.067,0.0,-999.0,2.391,0.0,
1940,0.278,0.0,0.163,0.113,0.0,1.0,-999.0,0.102,0.325,0.0,0.0,0.0,0.148,0.106,0.0,1.632,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.01,0.0,0.0,0.167,0.0,0.0,0.471,0.0,0.002,0.033,0.049,0.0,-999.0,0.593,0.033,0.0,0.501,0.0,0.0,0.286,0.0,0.0,0.278,0.0,-999.0,0.623,1.0,
1941,0.278,0.0,0.265,0.134,0.0,0.0,-999.0,0.389,0.455,0.0,0.049,0.0,0.092,0.364,0.0,0.866,0.014,0.0,0.0,0.0,0.057,0.14,0.187,0.067,0.124,0.0,0.0,0.0,0.127,0.0,0.154,0.0,0.002,0.433,0.003,0.125,-999.0,0.593,0.0,0.012,0.338,0.0,0.0,0.153,0.0,0.0,0.017,0.0,-999.0,1.787,0.0,
1942,0.362,0.0,0.353,0.139,0.0,0.0,-999.0,0.176,0.356,0.0,0.034,0.03,0.016,0.174,0.0,1.224,0.014,0.0,0.0,0.326,0.096,0.691,0.145,0.0,0.251,0.0,0.0,0.167,0.0,0.2,0.149,0.0,0.0,0.125,0.041,0.0,-999.0,0.0,0.073,0.205,0.332,0.0,0.0,0.224,0.103,0.001,0.167,0.0,-999.0,1.787,0.0,
1943,1.056,0.0,0.176,0.317,0.001,0.0,-999.0,0.333,0.234,0.0,0.088,0.09,0.097,0.075,0.0,1.127,0.014,0.0,0.0,0.024,0.204,0.393,0.531,0.0,0.014,0.0,0.0,0.167,0.0,0.0,0.036,0.0,0.056,0.8,0.0,0.0,-999.0,0.363,0.0,0.023,0.223,0.0,0.0,0.0,0.077,0.0,0.067,0.0,-999.0,1.858,0.0,
1944,0.987,0.0,0.324,0.084,0.0,1.0,-999.0,0.972,0.598,0.0,0.0,0.0,0.082,0.223,0.0,0.614,0.014,0.0,0.0,0.022,0.057,0.462,0.115,0.0,0.102,0.0,0.0,0.167,0.0,0.05,0.406,0.0,0.0,0.2,0.0,0.0,-999.0,0.578,0.089,0.232,0.201,0.0,0.0,0.119,0.0,0.003,0.0,0.0,-999.0,0.235,0.0,
1945,0.444,0.0,0.559,0.272,0.0,0.0,-999.0,1.231,0.182,0.0,0.103,0.227,0.03,0.092,0.0,0.947,0.014,0.0,0.0,0.033,0.057,0.225,0.28,0.0,0.099,0.0,0.0,0.0,0.066,0.0,0.382,0.0,0.0,0.533,0.083,0.0,-999.0,0.815,0.0,0.25,0.476,0.0,0.0,0.143,0.041,0.0,0.0,0.0,-999.0,0.817,0.0,
1946,0.389,0.0,0.24,0.0,0.0,0.0,-999.0,0.127,0.213,0.0,0.176,0.044,0.206,0.293,0.0,1.264,0.014,0.0,0.0,0.001,0.057,0.874,0.406,0.0,0.107,0.0,0.0,0.333,0.0,0.0,0.23,0.0,0.022,0.127,0.043,0.125,-999.0,0.296,0.033,0.205,0.48,0.0,0.0,0.0,0.0,0.005,0.1,0.0,-999.0,1.011,1.0,
1947,0.0,0.0,0.36,0.021,0.026,0.0,-999.0,1.278,0.114,0.0,0.059,0.0,0.204,0.04,0.0,0.953,0.014,0.0,0.0,0.073,0.0,0.772,0.188,0.034,0.049,0.0,0.0,0.0,0.001,0.0,0.364,0.061,0.033,0.0,0.042,0.0,-999.0,0.148,0.0,0.0,0.137,0.0,0.0,0.094,0.0,0.0,0.178,0.0,-999.0,1.011,0.0,
1948,0.278,0.0,0.176,0.036,0.0,0.0,-999.0,0.472,0.795,0.0,0.029,0.0,0.018,0.074,0.333,0.916,0.014,0.0,0.0,0.0,0.028,0.974,0.219,0.0,0.023,0.0,0.0,0.167,0.001,0.05,0.105,0.001,0.034,0.333,0.081,0.0,-999.0,0.134,0.0,0.251,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,1.011,0.0,
1949,0.333,0.0,0.5,0.006,0.042,0.0,-999.0,0.769,0.273,0.0,0.029,0.078,0.05,0.095,0.5,0.574,0.0,0.0,0.0,0.0,0.0,0.302,0.115,0.0,0.02,0.0,0.0,0.0,0.0,0.15,0.323,0.125,0.0,0.167,0.0,0.0,0.0,0.279,0.0,0.424,0.541,0.0,0.0,0.055,0.0,0.0,0.0,0.0,-999.0,2.51,0.0,
1950,0.222,0.0,0.147,0.312,0.0,0.0,-999.0,0.889,0.424,0.0,0.064,0.03,0.159,0.152,0.0,0.524,0.0,0.0,0.0,0.0,0.056,0.583,0.035,0.0,0.098,0.0,0.0,0.167,0.001,0.0,0.158,0.0,0.035,0.442,0.224,0.0,0.0,0.112,0.065,0.068,0.134,0.0,0.0,0.008,0.004,0.101,0.166,0.0,-999.0,0.817,0.0,
1951,0.611,0.0,0.146,0.056,0.07,0.0,-999.0,1.213,0.091,0.0,0.206,0.045,0.143,0.31,0.167,0.22,0.0,0.0,0.0,0.022,0.056,0.491,0.031,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.001,0.3,0.088,0.0,0.0,0.0,0.0,0.136,0.215,0.0,0.0,0.01,0.077,0.129,0.066,0.0,-999.0,1.664,-999.0,
1952,0.0,0.0,0.265,0.273,0.0,0.0,-999.0,0.139,0.273,0.0,0.0,0.109,0.133,0.018,0.0,0.421,0.0,0.0,0.0,0.0,0.0,0.003,0.058,0.0,0.043,0.0,0.0,0.5,0.0,0.05,0.226,0.0,0.0,0.033,0.0,0.0,1.0,0.111,0.031,0.09,0.341,0.0,0.0,0.019,0.0,0.001,0.05,0.0,-999.0,1.143,0.0,
1953,0.611,0.0,0.176,0.08,0.0,0.0,-999.0,1.12,0.477,0.0,0.029,0.0,0.025,0.11,0.0,1.14,0.0,0.0,0.333,0.0,0.139,0.569,0.095,0.0,0.0,0.0,0.0,0.167,0.0,0.15,0.105,0.0,0.0,0.392,0.083,0.0,1.0,0.0,0.022,0.091,0.27,0.0,0.0,0.0,0.077,0.001,0.071,0.0,-999.0,0.623,0.0,
1954,0.111,0.0,0.175,0.071,0.0,1.0,-999.0,0.519,0.182,0.0,0.078,0.045,0.125,0.014,0.0,0.436,0.25,1.0,0.444,0.056,0.11,0.4,0.002,0.0,0.04,0.0,0.0,0.167,0.0,0.0,0.357,0.0,0.067,0.133,0.0,0.375,1.0,0.222,0.0,0.045,0.038,0.0,0.0,0.5,0.0,0.501,0.0,0.0,-999.0,1.664,1.0,
1955,0.444,0.0,0.235,0.347,0.0,1.0,-999.0,0.222,0.053,0.0,0.057,0.0,0.025,0.151,0.0,0.941,0.0,0.0,1.0,0.0,0.111,0.698,0.241,0.0,0.011,0.0,0.0,0.833,0.0,0.2,0.491,0.0,0.067,0.458,0.0,0.0,1.0,0.244,0.0,0.076,0.18,0.0,0.0,0.31,0.077,0.0,0.0,0.0,-999.0,2.704,0.0,
1956,0.611,0.0,0.088,0.229,0.0,0.0,-999.0,0.409,0.345,0.0,0.057,0.091,0.001,0.023,0.167,0.567,0.0,0.0,0.0,0.0,0.028,0.515,0.156,0.0,0.071,0.0,0.0,0.167,0.0,0.0,0.071,0.062,0.0,0.0,0.083,0.0,0.0,0.148,0.02,0.341,0.084,0.0,0.0,0.071,0.0,0.0,0.067,0.0,-999.0,0.623,0.0,
1957,0.222,0.0,0.85,0.095,0.0,0.0,-999.0,0.176,0.277,0.0,0.244,0.394,0.018,0.117,0.0,1.232,0.0,0.0,0.0,0.0,0.147,0.484,0.219,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.194,0.0,0.022,0.627,0.0,0.0,0.0,0.104,0.035,0.28,0.763,0.0,0.0,0.071,0.0,0.0,0.0,0.0,-999.0,1.337,1.0,
1958,0.0,0.0,0.412,0.08,0.028,0.0,-999.0,0.417,0.171,0.0,0.123,0.166,0.133,0.201,0.0,0.434,0.0,0.0,0.0,0.0,0.118,0.225,0.333,0.0,0.141,0.0,0.0,0.333,0.0,0.0,0.169,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.023,0.303,0.0,0.0,0.317,0.0,0.0,0.083,0.0,-999.0,1.99,1.0,
1959,0.167,0.071,0.265,0.021,0.026,0.0,-999.0,0.547,0.163,0.0,0.136,0.199,0.192,0.085,0.0,0.913,0.0,0.0,0.333,0.062,0.03,0.46,0.083,0.0,0.015,0.0,0.0,0.333,0.0,0.001,0.337,0.0,0.022,0.443,0.042,0.0,0.0,0.933,0.0,0.0,0.484,0.0,0.0,0.079,0.103,0.0,0.083,0.0,-999.0,0.235,0.0,
1960,0.444,0.0,0.353,0.06,0.0,1.0,-999.0,0.806,0.262,0.0,0.0,0.07,0.025,0.072,0.167,0.077,0.0,0.0,0.444,0.0,0.056,0.5,0.014,0.0,0.035,0.0,0.0,0.5,0.0,0.101,0.44,0.0,0.0,0.158,0.042,0.0,1.0,0.333,0.0,0.28,0.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,1.011,0.0,
1961,1.5,0.0,0.441,0.021,0.0,0.0,-999.0,0.204,0.492,0.0,0.274,0.187,0.333,0.296,0.0,0.925,0.0,0.0,0.222,0.0,0.056,0.829,0.446,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.542,0.167,0.0,1.0,0.0,0.022,0.205,0.457,0.0,0.0,0.246,0.0,0.083,0.167,0.0,-999.0,0.623,2.0,
1962,0.167,0.0,0.027,0.307,0.0,0.0,-999.0,0.537,0.273,0.0,0.059,0.004,0.295,0.111,0.0,0.213,0.0,0.0,0.556,0.0,0.25,0.186,0.062,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.319,0.0,0.067,0.067,0.0,0.0,0.0,0.156,0.0,0.28,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,0.755,0.0,
1963,0.222,0.0,0.206,0.194,0.0,0.0,-999.0,0.557,0.5,0.0,0.0,0.0,0.124,0.061,0.0,0.5,0.0,0.0,0.0,0.0,0.088,0.14,0.031,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.189,0.062,0.067,0.1,0.0,0.0,0.0,0.43,0.022,0.105,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,2.378,0.0,
